Class Name,Class Code,Department,Units,Class Description,Class URL
Seminar in African American Studies,AFAM 163,African American Studies,4 Units,Explores theoretical and methodological issues in Black Studies via concentrated work on a specific ensemble of questions. Emphasis is on generating student responses to the material covered through oral and written reports. Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/afam/
Directed Group Study,AFAM 198,African American Studies,1-4 Units,Special topics through directed reading. Paper required. Repeatability: May be taken for credit for 24 units.,https://catalogue.uci.edu/allcourses/afam/
Independent Study,AFAM 199,African American Studies,1-4 Units,Investigation of special topics through directed reading. Paper required. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/afam/
University Teaching,AFAM 399,African American Studies,4 Units,Limited to teaching assistants. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/afam/
Research in Anatomy,ANATOMY 200,Anatomy and Neurobiology,2-12 Units,Individual research supervised by a particular faculty member. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/anatomy/
Research in Anatomy and Neurobiology for First-Year Students,ANATOMY 200R,Anatomy and Neurobiology,2-12 Units,Independent research within the laboratories of graduate training faculty in the Department of Anatomy and Neurobiology for first-year Ph.D. students. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be taken for credit 3 times.,https://catalogue.uci.edu/allcourses/anatomy/
Human Gross Anatomy,ANATOMY 201,Anatomy and Neurobiology,8 Units,"Study and dissection of the human body, including muscular, skeletal, nervous, and cardiovascular systems. Emphasis on both normal and abnormal structure and function. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/anatomy/
Human Neuroscience,ANATOMY 202B,Anatomy and Neurobiology,4 Units,"Study of the human nervous system at the systems level including the physiology and anatomy of sensory, motor, and integrative functions. Prerequisite: ANATOMY 202A",https://catalogue.uci.edu/allcourses/anatomy/
Human Microscopoic Anatomy,ANATOMY 203A,Anatomy and Neurobiology,3 Units,Lecture and laboratory course on human microscopic anatomy. Emphasis is on functional implications of structure of cells and tissues. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/anatomy/
Human Microscopoic Anatomy,ANATOMY 203B,Anatomy and Neurobiology,3 Units,Lecture and laboratory course on human microscopic anatomy. Emphasis is on functional implications of structure of cells and tissues. Prerequisite: ANATOMY 203A Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/anatomy/
Tutorial in Anatomy,ANATOMY 206,Anatomy and Neurobiology,3 Units,Series of tutorials on advanced topics in anatomy. Repeatability: May be repeated for credit unlimited times. 2318,https://catalogue.uci.edu/allcourses/anatomy/
Neuroanatomy,ANATOMY 206B,Anatomy and Neurobiology,3 Units,"Exploration of special topics in neuroanatomy. Primarily library work, but study of prepared slides also included. Repeatability: May be repeated for credit unlimited times.",https://catalogue.uci.edu/allcourses/anatomy/
Tutorial in Microanatomy,ANATOMY 206C,Anatomy and Neurobiology,3 Units,"Special topics in microanatomy. Primarily library work, but study of prepared histological slides and photographs included. Repeatability: May be repeated for credit unlimited times.",https://catalogue.uci.edu/allcourses/anatomy/
Systems Neuroscience,ANATOMY 210A,Anatomy and Neurobiology,5 Units,"Study of the mammalian nervous system at the systems level. Anatomy and physiology of sensory, motor, and integrative functions. Repeatability: May be taken for credit 2 times. Same as NEURBIO 208. Restriction: Graduate students only. Neurobiology and Behavior Majors only.",https://catalogue.uci.edu/allcourses/anatomy/
Epilepsy as a Window to Mechanisms of Neuronal Plasticity,ANATOMY 215,Anatomy and Neurobiology,4 Units,"Understanding the mechanisms of brain disorders provides novel insights into the normal function of neurons and circuits. Discusses approaches to studying mechanisms of brain function ranging from imaging, the use of models and others to study epilepsy. Grading Option: Satisfactory/unsatisfactory only.",https://catalogue.uci.edu/allcourses/anatomy/
Current Topics in Neuroscience,ANATOMY 227A,Anatomy and Neurobiology,1-4 Units,"Focuses on critical reading, presentation, and discussion of current literature in neuroscience research. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/anatomy/
Current Topics in Neuroscience,ANATOMY 227B,Anatomy and Neurobiology,1-4 Units,"Focuses on critical reading, presentation, and discussion of current literature in neuroscience research. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/anatomy/
Current Topics in Neuroscience,ANATOMY 227C,Anatomy and Neurobiology,1-4 Units,"Focuses on critical reading, presentation, and discussion of current literature in neuroscience research. Repeatability: May be repeated for credit unlimited times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/anatomy/
Topics in Translational Neuroscience,ANATOMY 230,Anatomy and Neurobiology,2-4 Units,"One-hour seminar presentation by participating faculty or guest lecturer and open to the science community, followed by one-hour student discussion of the lecture topic or related topic. Students are responsible for presentations and readings. Repeatability: May be taken for credit 2 times as topics vary. Restriction: Graduate students only. Interdepartmental Neuroscience Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/anatomy/
"Molecular, Cellular, & Developmental Neurobiology",ANATOMY 230A,Anatomy and Neurobiology,4 Units,"Molecular aspects of the structure and function of neurons and glia including neurotransmission, synaptic modulation, and channels. Neural development at the cellular and molecular level including neurogenesis, pattern formation, trophic factors, axonal growth, and synaptic rearrangement. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/anatomy/
Topics in Neural Circuit Mapping,ANATOMY 292A,Anatomy and Neurobiology,2 Units,Presentations/lectures by invited faculty and student discussion. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/anatomy/
Scientific Communication,ANATOMY 292B,Anatomy and Neurobiology,2 Units,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times.",https://catalogue.uci.edu/allcourses/anatomy/
Scientific Communication,ANATOMY 292C,Anatomy and Neurobiology,2 Units,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be repeated for credit unlimited times.",https://catalogue.uci.edu/allcourses/anatomy/
Introduction to Sociocultural Anthropology,ANTHRO 2A,Anthropology,4 Units,"Introduction to cultural diversity and the methods used by anthropologists to account for it. Family relations, economic activities, politics, gender, and religion in a wide range of societies. Stresses the application of anthropological methods to research problems. (III and VIII ).",https://catalogue.uci.edu/allcourses/anthro/
Introduction to Biological Anthropology,ANTHRO 2B,Anthropology,4 Units,"Evolutionary theory and processes, comparative primate fossil record, human variation, and the adequacy of theory, and empirical data. (III)",https://catalogue.uci.edu/allcourses/anthro/
Introduction to Archaeology,ANTHRO 2C,Anthropology,4 Units,"Archaeological theory and cultural processes with emphasis on the American Southwest, Mesoamerica, and Mesopotamia. (III)",https://catalogue.uci.edu/allcourses/anthro/
Introduction to Language and Culture,ANTHRO 2D,Anthropology,4 Units,"Explores what the study of language can reveal about ourselves as bearers of culture. After introducing some basic concepts, examines how cultural knowledge is linguistically organized and how language might shape our perception of the world. Same as LSCI 68. (III)",https://catalogue.uci.edu/allcourses/anthro/
Probability and Statistics,ANTHRO 10A,Anthropology,4 Units,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines. Same as SOCIOL 10A. Overlaps with PSYCH 10A, SOCECOL 13, SOC SCI 10A, POL SCI 10A. Restriction: Anthropology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment. (Va) 2320",https://catalogue.uci.edu/allcourses/anthro/
Probability and Statistics,ANTHRO 10B,Anthropology,4 Units,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines. Prerequisite: SOCIOL 10A or ANTHRO 10A Same as SOCIOL 10B. Overlaps with PSYCH 10B, SOCECOL 13, SOC SCI 10B, POL SCI 10B. Restriction: Anthropology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment. (Va)",https://catalogue.uci.edu/allcourses/anthro/
Probability and Statistics,ANTHRO 10C,Anthropology,4 Units,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines. Prerequisite: SOCIOL 10B or ANTHRO 10B Same as SOCIOL 10C. Overlaps with PSYCH 10C, SOCECOL 13, SOC SCI 10C, POL SCI 10C. Restriction: Anthropology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment. (Vb)",https://catalogue.uci.edu/allcourses/anthro/
"People, Cultures, and Environmental Sustainability",ANTHRO 20A,Anthropology,4 Units,"Anthropological consideration of global environmental sustainability from the perspective of human cultures and communities. Causes and consequences of population growth, natural resource management, environmental law, environmental ethics. Case studies emphasize tropical rain forests, arid lands of Africa and North America. (VIII)",https://catalogue.uci.edu/allcourses/anthro/
Environmental Injustice,ANTHRO 25A,Anthropology,4 Units,"Explores how pollution, climate change, and other environmental problems impact people around the world, often worsening social inequality. Students use social science frameworks to understand environmental problems, different interpretations of these problems, and how people have organized for political change. (III and VII ).",https://catalogue.uci.edu/allcourses/anthro/
Global Issues in Anthropological Perspective,ANTHRO 30A,Anthropology,4 Units,Explores anthropological perspectives on issues of importance in an increasingly global society. Topics include emphases on ethnic conflict; identity; immigration and citizenship; religion and religious diversity; medical anthropology; legal anthropology; development and economic change; gender. Restriction: Anthropology Majors have first consideration for enrollment. (VIII),https://catalogue.uci.edu/allcourses/anthro/
Visual Anthropology,ANTHRO 30C,Anthropology,4 Units,"Focusing on the construction of culture through visuality, this course engages traditional ethnographic films, popular media and anthropological texts to analyze ethics, �reality� and fiction; propaganda and documentary, construction of a frame, the responsibility of the filmmaker, photographer, and anthropologist.",https://catalogue.uci.edu/allcourses/anthro/
Global Cultures and Society,ANTHRO 41A,Anthropology,4 Units,"Offers a general overview of the rise of global interdependence in political, economic, demographic, and cultural terms. Considers what drove people from relative isolation into intensified intercourse with one another, and investigates the consequences of this shift. Same as INTL ST 11. Restriction: Anthropology Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment. (III and VIII ). 2321",https://catalogue.uci.edu/allcourses/anthro/
"Science, Culture, Power",ANTHRO 45A,Anthropology,4 Units,"Examines science in historical and cultural context (Scientific and Darwinian Revolutions, Manhattan Project, contemporary biosciences) to understand scientific truths and their limits, scientists as social actors, and vital intersections of sciences with religion, politics, gender, and other forms of culture. (III)",https://catalogue.uci.edu/allcourses/anthro/
"Archaeology or Aliens?: Conspiracy, Pseudoscience, and the Emergence of Civilizations",ANTHRO 48,Anthropology,4 Units,"Archaeology has inspired (and sometimes actively encouraged) various theories about aliens, lost civilizations, dark conspiracies, and mysterious technologies. Does such an intimate relationship with these fantastic notions undermine archaeology and its claims of authoritative knowledge about past cultures. (III and VIII ).",https://catalogue.uci.edu/allcourses/anthro/
Ethnography and Anthropological Methods,ANTHRO 100A,Anthropology,4 Units,"Anthropological research, learning ethnographic methods, and how to choose a research topic, construct research questions, explore library resources, collect data, and write an analytical paper on research findings. Prerequisite or corequisite: ANTHRO 2A Restriction: Anthropology Majors have first consideration for enrollment. Anthropology Minors have first consideration for enrollment. Medical Anthropology Minors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/anthro/
Anthropology Careers,ANTHRO 100B,Anthropology,4 Units,"Gives students the skills and perspective needed to leverage undergraduate anthropology education in diverse career domains. Students explore different career domains (health care, tech development, environmental governance, etc.) and learn to represent themselves professionally. Restriction: Anthropology Majors only. Anthropology Minors only. Medical Anthropology Minors only.",https://catalogue.uci.edu/allcourses/anthro/
Kinship and Social Organization,ANTHRO 121AW,Anthropology,4 Units,"Organization of social life primarily in preindustrial societies. Theories of kinship, marriage regulations, sexual behavior, and social roles. Comparisons of biological, psychological, sociological, and economic explanations of social organization. Prerequisite: Satisfactory completion of the Lower-Division Writing requirement. (Ib)",https://catalogue.uci.edu/allcourses/anthro/
Cross-Cultural Studies of Gender,ANTHRO 121D,Anthropology,4 Units,"Explores the construction of gender in national and transnational contexts. Special attention is given to how race, sexuality, class, and global inequalities shape different experiences of gender, and how gender structures political, institutional, and social life across the world. (VII)",https://catalogue.uci.edu/allcourses/anthro/
Urban Anthropology,ANTHRO 121J,Anthropology,4 Units,"Cultural roles of cities and the processes of urbanization in a comparative perspective. Focus includes nonwestern, nonindustrial societies of past and present; the relationship between modern urban centers across different world regions. Themes covered include: inequality, race, migration, poverty, capitalism.",https://catalogue.uci.edu/allcourses/anthro/
Gold: The Alchemy of Socio-Economic Practice,ANTHRO 124,Anthropology,4 Units,"Before bitcoin, before derivatives and mortgage-backed securities, before even writing itself, there was gold. Explore gold�s role in the development of culture, politics, and power. From Pharaohs to modern financial wizards, gold has impacted and mediated social life. Restriction: Anthropology Majors have first consideration for enrollment. Anthropology Minors have first consideration for enrollment. Archaeology Minors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Economics Minors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/anthro/
Anthropology of Debt,ANTHRO 125,Anthropology,4 Units,"Explores how debt has shaped culture across varied contexts geographically and historically. In what ways have societies naturalized indebtedness, taken it for granted as a fact of life, and used it for organizing social relations. Restriction: Anthropology Majors have first consideration for enrollment. Anthropology Minors have first consideration for enrollment. Archaeology Minors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Economics Minors have first consideration for enrollment. 2322",https://catalogue.uci.edu/allcourses/anthro/
Economic Anthropology,ANTHRO 125A,Anthropology,4 Units,"Economic systems in comparative perspective: production, distribution, and consumption in market and non-market societies; agricultural development in the third world. Prerequisite: One course in general science, anthropology, economics, geography, or sociology. Same as ECON 152A. Restriction: Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment. Anthropology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/anthro/
Ecological Anthropology,ANTHRO 125B,Anthropology,4 Units,"Studies relationships between human communities and their natural environments. The role of environment in shaping culture; effects of extreme environments on human biology and social organization; anthropologist's role in studying global environmental problems, e.g., African famine, tropical rain forests destruction. Prerequisite: ANTHRO 2A or ANTHRO 2B or ANTHRO 2C",https://catalogue.uci.edu/allcourses/anthro/
Environmental Anthropology,ANTHRO 125C,Anthropology,4 Units,"Introduces students to anthropological and qualitative research on the relationship of humans, non-humans, and environments. Focuses on how to analyze and evaluate social and cultural differences in environmental perception, relations, justice, governance, sustainability, and cosmology. Prerequisite: ANTHRO 2A or ANTHRO 2B or ANTHRO 2C or ANTHRO 2D (III)",https://catalogue.uci.edu/allcourses/anthro/
Humans and Other Animals,ANTHRO 125F,Anthropology,4 Units,"Explores peoples' relationships with other animals, a topic that continues to shape anthropological understandings of humanness, culture, and the social. Subthemes: symbol and matter, nature/culture, ontologies, relations, moralities, ecologies, futures. Prerequisite: ANTHRO 2A or ANTHRO 2B or ANTHRO 2D",https://catalogue.uci.edu/allcourses/anthro/
